Famille;Rayon;Référence;Titre;Prix idealo (€);Pack;Type;Voltage;Coffret;Ah;Nb outils;Nb batteries;Nb pièces;Édition limitée;Origine;Signal de classement;Clé de doublon;Niveau de clé;Variante;Doublons fusionnés;Réf. fiche du site;Prix actuel du site (€)
Électro portatif;batterie;DCB200;Chargeur de batterie 100% authentique DEWALT 20V Max 2/5/6/9Ah, série Li-Ion XR pour outils électriques, batterie DCB200;79,99;pack;batterie;20;;9;;1;;;sans-ref;famille:energie;REF:DCB200|PACK;référence;PACK;9;;
Électro portatif;chargeur;DCB117-QW;DEWALT DCB117-QW;80,16;pack;chargeur;;;;;;;;inconnu;famille:energie;REF:DCB117|PACK;référence;PACK;1;;
Électro portatif;batterie;DCB184;Batterie de remplacement 100% originale 20V 6.0Ah MAX pour outils électriques DeWalt DCB184 DCB181 DCB182 DCB200 20V 5A ;80,39;pack;batterie;20;;6;;1;;;sans-ref;famille:energie;REF:DCB184|ACCESSOIRE;référence;ACCESSOIRE;8;;
Électro portatif;meulage;HYQ01;Outils électriques multifonctionnels DeWalt sans fil, meuleuse d'angle sans balais, coupeur, clé électrique, polisseuse,;80,39;seul;meuleuse d'angle;18;AUCUN;;;;;;sans-ref;famille:machine;REF:HYQ01|OUTIL;référence;OUTIL;1;;
Électro portatif;batterie;DCB132;DeWALT DCB132 — Chargeur double 18-54V DCB132;80,45;pack;batterie;;;;;1;;;reconnu;famille:energie;REF:DCB132|PACK;référence;PACK;5;DCB132;217,82
Électro portatif;percage;DCD805;100% Original DEWALT 20V 6.0Ah Batterie au lithium rechargeable sans balais, tournevis électrique compact, perceuse à ma;80,69;seul;perceuse à percussion;20;AUCUN;6;;0;;;sans-ref;famille:machine;REF:DCD805|OUTIL;référence;OUTIL;11;;
Électro portatif;combo;DCE4500;DEWALT Tête d'outil réglable en cuivre de 2,2 cm pour DCE4500 (DCE450078);80,87;seul;pack d'outils;;AUCUN;;;;;;sans-ref;famille:machine;REF:DCE4500|OUTIL;référence;OUTIL;1;;
Électro portatif;fixation;DCE5601-XJ;Support cartouche pour pistolet à mastic - - DCE5601-XJ;81,13;seul;pistolet à mastic;;AUCUN;;;;;;sans-ref;famille:machine;REF:DCE5601|ACCESSOIRE;référence;ACCESSOIRE;5;;
Électro portatif;jardin;DCE5601;DeWalt DCE5601 Kit pulvérisateurs pour tubes;81,13;pack;pulvérisateur;;AUCUN;;;;;;sans-ref;famille:machine;REF:DCE5601|PACK;référence;PACK;1;;
Électro portatif;batterie;DCB606;Batterie DeWALT 100% originale 20V/60V 6Ah 9Ah MAX FlexVolt pour outil électrique DCB606 DCB205 DCB206 DCB209 DCB182 ave;81,14;pack;batterie;60;;9;;1;;;sans-ref;famille:energie;REF:DCB606|PACK;référence;PACK;17;;
Électro portatif;aspiration;DCV100XJ;DeWalt DCV 100 XJ;81,18;pack;;18;AUCUN;;;100;;;sans-ref;famille:machine;REF:DCV100|PACK;référence;PACK;17;;
Électro portatif;;DWE74912;DEWALT DWE74912;81,66;seul;;;AUCUN;;;;;;inconnu;famille:machine;REF:DWE74912|OUTIL;référence;OUTIL;1;;
Électro portatif;;D279017;DeWalt 5 sacs à poussière D279017;82,38;seul;;;AUCUN;;;;;;sans-ref;famille:machine;REF:D279017|OUTIL;référence;OUTIL;1;;
Électro portatif;;DWE20V;Batterie Dewalt originale 60V/20V, batterie 5AH 6AH 9AH, batterie pour outils électriques DeWalt série DCF DCD DCG DCS D;82,39;pack;;60;AUCUN;9;;1;;;sans-ref;famille:machine;REF:DWE20|PACK;référence;PACK;2;;
Électro portatif;batterie;DCB609;Batterie Dewalt originale 100% authentique 20V/60V 9.0Ah MAX 9000mAh FlexVolt DCB609 DCB202 DCB205 DCB206 DCB209 Outil é;82,39;pack;batterie;60;;9;;1;;;sans-ref;famille:energie;REF:DCB609|PACK;référence;PACK;3;;
Électro portatif;chantier;D26414;DEWALT D26414;82,46;seul;décapeur thermique;;AUCUN;;;;;;inconnu;famille:machine;REF:D26414|OUTIL;référence;OUTIL;1;;
Électro portatif;aspiration;DXVCS002;DEWALT DXVCS002;82,66;seul;aspirateur;;AUCUN;;;;;;inconnu;famille:machine;REF:DXVCS002|OUTIL;référence;OUTIL;1;;
Électro portatif;percage;DCH273;DEWALT DCH273 perceuse à percussion rotative 18 V/20 V MAX SDS sans brosse 1 pouce PLUS perceuse à percussion pour le tr;82,69;seul;perceuse à percussion;20;AUCUN;;;0;;;sans-ref;famille:machine;REF:DCH273|OUTIL;référence;OUTIL;7;;
Électro portatif;percage;DWAMF1280;DEWALT Drill Bit Set / Screwdriver Set, 80-Piece (DWAMF1280);82,77;pack;visseuse;;AUCUN;;;;;;sans-ref;famille:machine;REF:DWAMF1280|PACK;référence;PACK;1;;
Électro portatif;sciage;N233859;Barre pour scie Stationnaire DeWALT N233859;82,99;seul;scie sur table;;AUCUN;;;;;;sans-ref;famille:machine;REF:N233859|OUTIL;référence;OUTIL;1;;
Électro portatif;chargeur;;DEWALT Chargeur rapide sans fil;83,13;pack;chargeur;;;;;;;;sans-ref;famille:energie;TIT:chargeur rapide sans fil;titre;PACK;1;;
Électro portatif;percage;DCD709N-XJ;DEWALT DCD709N-XJ;83,25;seul;perceuse-visseuse;;AUCUN;;;0;;;inconnu;famille:machine;REF:DCD709|OUTIL;référence;OUTIL;5;;
Électro portatif;batterie;DCB090-XJ;DEWALT DCB090-XJ;83,29;pack;;;;;;1;;;inconnu;famille:energie;REF:DCB090|PACK;référence;PACK;1;;
Électro portatif;batterie;DCB124G;DEWALT DCB124G;83,62;pack;batterie;12;;3;;12;;;inconnu;famille:energie;REF:DCB124|PACK;référence;PACK;1;;
Électro portatif;batterie;RB336;Batterie AKKU POWER RB336 pour DEWALT 24V 3AH Ni-Mh type DE0240;84,50;pack;batterie;24;;3;;1;;;sans-ref;famille:energie;REF:RB336|PACK;référence;PACK;1;;
Électro portatif;percage;DCD777N;DEWALT DCD777N;84,90;seul;perceuse-visseuse;;AUCUN;;;0;;;inconnu;famille:machine;REF:DCD777|OUTIL;référence;OUTIL;3;;
Électro portatif;batterie;DCB184G-XJ;DEWALT DCB184G-XJ;84,90;seul;batterie;18;;5;;0;;;inconnu;famille:energie;REF:DCB184|OUTIL;référence;OUTIL;2;;
Électro portatif;batterie;RB3019;Batterie AKKU POWER RB3019 pour DEWALT 14.4V 4Ah Li-ion type DCB142;85,00;pack;batterie;4;;4;;1;;;sans-ref;famille:energie;REF:RB3019|PACK;référence;PACK;1;;
Électro portatif;aspiration;DXV15A;DEWALT DXV15A;85,05;seul;aspirateur;;AUCUN;;;;;;inconnu;famille:machine;REF:DXV15|OUTIL;référence;OUTIL;3;;
Électro portatif;batterie;DCB1104D1;DeWalt DCB 1104 D1;85,22;pack;batterie;12;;2;;1;;;sans-ref;famille:energie;REF:DCB1104|PACK;référence;PACK;28;;
Électro portatif;percage;DCD796;Dewalt DCD796 13mm perceuse électrique à percussion sans brosse tournevis sans fil multifonctionnel batterie Rechargeabl;85,69;pack;perceuse;20;AUCUN;;;1;;;sans-ref;famille:machine;REF:DCD796|PACK;référence;PACK;26;;
Électro portatif;vissage-choc;DXBC9002;DEWALT DXBC9002 Lot de 2 Sangles à cliquet rétractables automatiques de 5,1 cm x 3 m - Charge de Travail sûre de 0,5 kg/;85,86;pack;cliquet;;AUCUN;;;;2;;sans-ref;famille:machine;REF:DXBC9002|PACK;référence;PACK;1;;
Électro portatif;batterie;DCB184;DeWalt DCB 184 (18V, 5Ah);85,90;pack;batterie;18;;5;;1;;;sans-ref;famille:energie;REF:DCB184|PACK;référence;PACK;21;;
Électro portatif;;DE7777-XJ;"Kit de connecteur DeWalt DE7777-XJ; 100 mm";86,01;pack;;;;;;;;;sans-ref;titre;REF:DE7777|PACK;référence;PACK;1;;
Électro portatif;chargeur;;DEWALT Chargeur USB PD Mobile pour siège Avant et arrière;86,04;pack;chargeur;;;;;;;;sans-ref;famille:energie;TIT:chargeur usb pd mobile pour si ge avant et arri re;titre;PACK;1;;
Électro portatif;jardin;DCMH3285;DEWALT DCMH3285 Tuyau d'arrosage robuste de qualité professionnelle 15,2 m x 1,6 cm pour jardin, jaune, noir;86,21;seul;;;AUCUN;;;;;;sans-ref;famille:machine;REF:DCMH3285|OUTIL;référence;OUTIL;1;;
Électro portatif;batterie;DCB206;Batterie d'outil électrique 100% originale DeWALT 20V 6000mAh DCB206 DCB205 DCB200 DCF887 DCG405 DCD791 DCF922 DCF850 DC;86,39;pack;batterie;60;;9;;1;;;sans-ref;famille:energie;REF:DCB206|PACK;référence;PACK;6;;
Électro portatif;sciage;;Induit moteur n093107 pour Scie a onglets;86,61;seul;scie à onglet;;AUCUN;;;;;;sans-ref;famille:machine;TIT:induit moteur n093107 pour scie a onglets;titre;OUTIL;4;;
Électro portatif;fixation;DCN890;DeWalt Chasse-clous de rechange pour Cloueur à béton sans fil DCN890 (DCN8901-XJ);87,02;seul;cloueur;18;AUCUN;;;;;;sans-ref;famille:machine;REF:DCN890|ACCESSOIRE;référence;ACCESSOIRE;1;;
Électro portatif;fixation;DCN930P2;34° DNW clous en bande 2,8x50mm anneau galvanisé Cloueur sans fil DeWalt DCN930P2 DCN930N DV 2,2M;87,19;pack;cloueur;;AUCUN;5;;2;;;sans-ref;famille:machine;REF:DCN930|PACK;référence;PACK;13;;
Électro portatif;meulage;DCG409;DEWALT-meuleuse d'angle DCG409, outil électrique sans fil sans balais 20V, machine de découpe, polisseuse portable recha;87,39;seul;meuleuse d'angle;20;AUCUN;;;;;;sans-ref;famille:machine;REF:DCG409|OUTIL;référence;OUTIL;9;;
Électro portatif;mesure;DW0802;DEWALT DW0802 33'. Laser Square;87,40;seul;niveau laser;;AUCUN;;;;;;sans-ref;famille:machine;REF:DW0802|OUTIL;référence;OUTIL;1;;
