Famille;Rayon;Référence;Titre;Prix idealo (€);Pack;Type;Voltage;Coffret;Ah;Nb outils;Nb batteries;Nb pièces;Édition limitée;Origine;Signal de classement;Clé de doublon;Niveau de clé;Variante;Doublons fusionnés;Réf. fiche du site;Prix actuel du site (€)
Électro portatif;sciage;DCS355N-XJ;DeWALT DCS355N-XJ — Multicutter Outil multifonction DCS355N-XJ;105,99;seul;;;AUCUN;;;0;;;reconnu;famille:machine;REF:DCS355|OUTIL;référence;OUTIL;8;DCS355N-XJ;205,50
Électro portatif;vissage-choc;DCF513N-XJ;DEWALT DCF513N-XJ;174,65;seul;cliquet;;AUCUN;;;0;;;inconnu;famille:machine;REF:DCF513|OUTIL;référence;OUTIL;4;;
Électro portatif;percage;DCD805;100% Original DEWALT 20V 6.0Ah Batterie au lithium rechargeable sans balais, tournevis électrique compact, perceuse à ma;80,69;seul;perceuse à percussion;20;AUCUN;6;;0;;;sans-ref;famille:machine;REF:DCD805|OUTIL;référence;OUTIL;11;;
Électro portatif;jardin;DCM565N;DeWALT DCM565N-XJ — Tronçonneuse 18V 30 cm DCM565N-XJ;177,58;pack;tronçonneuse;18;AUCUN;;;1;;;reconnu;famille:machine;REF:DCM565|PACK;référence;PACK;7;DCM565N-XJ;388,93
Électro portatif;combo;DCK795S2T;DEWALT DCK795S2T;247,98;seul;pack d'outils;;AUCUN;;;;;;inconnu;famille:machine;REF:DCK795|OUTIL;référence;OUTIL;2;;
Électro portatif;percage;DCDW108;DEWALT DCDW108;247,50;seul;;;AUCUN;;;;;;inconnu;famille:machine;REF:DCDW108|OUTIL;référence;OUTIL;1;;
Électro portatif;percage;DCD795NT-XJ;DeWalt DCD795NT-XJ Perceuse-visseuse compact 18 V sans batterie/accessoires avec T-Stak Box ii;178,20;pack;perceuse-visseuse;18;TSTAK;;;0;;;sans-ref;famille:machine;REF:DCD795|PACK;référence;PACK;5;;
Électro portatif;sciage;DW331K;DEWALT DW331K;225,62;seul;scie sauteuse;;AUCUN;;;;;;inconnu;famille:machine;REF:DW331|OUTIL;référence;OUTIL;5;;
Électro portatif;vissage-choc;DCF850N;"DeWALT DCF850N — Visseuse a chocs 1/4"" XR 18V Ultra-compacte (outil nu)";205,71;pack;visseuse à chocs;;AUCUN;2;;1;;;reconnu;famille:machine;REF:DCF850|PACK;référence;PACK;19;DCF850N;169,00
Électro portatif;vissage-choc;DCF922NA;DeWALT - Clé à chocs sans fil 18V, sans batterie ni chargeur DCF922NA;198,43;pack;clé à chocs;18;AUCUN;;;0;;;sans-ref;famille:machine;REF:DCF922|PACK;référence;PACK;28;;
Électro portatif;percage;DCD708N;DeWalt DCD 708 N Perceuse-visseuse sans fil 18 V 65 Nm Brushless + 1x batterie 2,0 Ah - sans chargeur;130,21;pack;perceuse-visseuse;18;AUCUN;2;;1;;;sans-ref;famille:machine;REF:DCD708|PACK;référence;PACK;31;;
Électro portatif;bois;DCS356D1;DEWALT Kit d'outils multifonctions oscillants XR 20 V MAX à vitesse variable (DCS356D1);145,75;pack;outil multifonctions;20;AUCUN;2;;1;;;sans-ref;famille:machine;REF:DCS356|PACK;référence;PACK;7;;
