Famille;Rayon;Référence;Titre;Prix idealo (€);Pack;Type;Voltage;Coffret;Ah;Nb outils;Nb batteries;Nb pièces;Édition limitée;Origine;Signal de classement;Clé de doublon;Niveau de clé;Variante;Doublons fusionnés;Réf. fiche du site;Prix actuel du site (€)
Vêtements & EPI;chaussure;;Dewalt Harwich Bottes de sécurité imperméables Marron clair, peau, 45 EU;81,50;seul;botte de sécurité;;;;;;;;sans-ref;famille:epi;TIT:harwich bottes de s curit imperm ables marron clair peau 45 eu;titre;OUTIL;1;;
Vêtements & EPI;vetement;;DEWALT Albany Pantalon Cargo de Travail pour Homme Coupe ajustée Pro-Stretch Rip Stop Poche Holster, Gris/Noir, 34W / 29;81,65;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;TIT:albany pantalon cargo de travail pour homme coupe ajust e pro stretch rip stop poche holster gris noir 34w 29;titre;OUTIL;3;;
Vêtements & EPI;vetement;;DEWALT Albany Pantalon Cargo de Travail pour Homme Coupe ajustée Pro-Stretch Rip Stop Poche Holster, Gris/Noir, 30W / 33;81,65;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;TIT:albany pantalon cargo de travail pour homme coupe ajust e pro stretch rip stop poche holster gris noir 30w 33;titre;OUTIL;3;;
Vêtements & EPI;vetement;;DEWALT Albany Pantalon Cargo de Travail pour Homme Coupe ajustée Pro-Stretch Rip Stop Poche Holster, Gris/Noir, 38W x 31;81,65;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;TIT:albany pantalon cargo de travail pour homme coupe ajust e pro stretch rip stop poche holster gris noir 38w x 31;titre;OUTIL;3;;
Vêtements & EPI;vetement;;DEWALT Albany Pantalon Cargo de Travail pour Homme Coupe ajustée Pro-Stretch Rip Stop Poche Holster, Gris/Noir, 40W / 29;81,65;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;TIT:albany pantalon cargo de travail pour homme coupe ajust e pro stretch rip stop poche holster gris noir 40w 29;titre;OUTIL;2;;
Vêtements & EPI;vetement;;DEWALT Albany Pantalon Cargo de Travail pour Homme Coupe ajustée Pro-Stretch Rip Stop Poche Holster, Gris/Noir, 32W x 29;81,65;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;TIT:albany pantalon cargo de travail pour homme coupe ajust e pro stretch rip stop poche holster gris noir 32w x 29;titre;OUTIL;2;;
Vêtements & EPI;vetement;;DEWALT Albany Pantalon Cargo de Travail pour Homme Coupe ajustée Pro-Stretch Rip Stop Poche Holster, Gris/Noir, 42W x 31;81,65;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;TIT:albany pantalon cargo de travail pour homme coupe ajust e pro stretch rip stop poche holster gris noir 42w x 31;titre;OUTIL;1;;
Vêtements & EPI;vetement;;DEWALT Albany Pantalon Cargo de Travail pour Homme Coupe ajustée Pro-Stretch Rip Stop Poche Holster, Gris/Noir, 40W / 31;81,65;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;TIT:albany pantalon cargo de travail pour homme coupe ajust e pro stretch rip stop poche holster gris noir 40w 31;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;DEWALT Cranson Stone Bottes de travail de sécurité pour homme, 5 pouces en cuir nubuck, embout en acier, résistantes au ;81,84;seul;chaussure de sécurité;;;;;;;;sans-ref;famille:epi;TIT:cranson stone bottes de travail de s curit pour homme 5 pouces en cuir nubuck embout en acier r sistantes au;titre;OUTIL;1;;
Vêtements & EPI;;DPG17-BX;DEWALT DPG17-BX;83,57;seul;;;;;;;;;inconnu;hérité du doublon classé;REF:DPG17|OUTIL;référence;OUTIL;2;;
Vêtements & EPI;chaussure;;DEWALT Bottes de construction Harwich pour homme, blé, 42 1/3 EU;83,60;seul;botte de sécurité;;;;;;;;sans-ref;famille:epi;TIT:bottes de construction harwich pour homme bl 42 1 3 eu;titre;OUTIL;1;;
Vêtements & EPI;vetement;;DEWALT Southampton Veste de travail imperméable et respirante en polyester pour homme Coupe régulière, noir/gris, L;83,70;seul;veste de travail;;;;;;;;sans-ref;famille:epi;TIT:southampton veste de travail imperm able et respirante en polyester pour homme coupe r guli re noir gris l;titre;OUTIL;1;;
Vêtements & EPI;vetement;;DEWALT Southampton Veste de travail imperméable et respirante en polyester pour homme Coupe régulière, noir/gris, XXL;83,70;seul;veste de travail;;;;;;;;sans-ref;famille:epi;TIT:southampton veste de travail imperm able et respirante en polyester pour homme coupe r guli re noir gris xxl;titre;OUTIL;1;;
Vêtements & EPI;vetement;;Dewalt Lightweight Waterproof Jacket M Veste de Travail Extensible, Noir/Gris, M Homme;83,70;seul;veste de travail;;;;;;;;sans-ref;famille:epi;TIT:lightweight waterproof jacket m veste de travail extensible noir gris m homme;titre;OUTIL;3;;
Vêtements & EPI;vetement;;DEWALT Lightweight Waterproof Jacket XL Veste Utilitaire de Travail, Noir/Gris, Homme;83,70;seul;veste de travail;;;;;;;;sans-ref;famille:epi;TIT:lightweight waterproof jacket xl veste utilitaire de travail noir gris homme;titre;OUTIL;1;;
Vêtements & EPI;vetement;;DEWALT Gilet sans manches FORCE - Noir - M;84,21;seul;gilet;;;;;;;;sans-ref;famille:epi;TIT:gilet sans manches force noir m;titre;OUTIL;1;;
Vêtements & EPI;tete;DPG84;dewalt DPG84 Lunettes de protection isolantes AF transparentes;84,75;seul;lunettes de protection;;;;;;;;sans-ref;famille:epi;REF:DPG84|OUTIL;référence;OUTIL;1;;
Vêtements & EPI;vetement;;DEWALT Dewmem4029-tb Memphis Holster Pantalon pour Homme Tour de Taille 101,6 cm Jambe 73,6 cm Noir/Gris 40W 29L UK;84,90;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;TIT:dewmem4029 tb memphis holster pantalon pour homme tour de taille 101 6 cm jambe 73 6 cm noir gris 40w 29l uk;titre;OUTIL;2;;
Vêtements & EPI;vetement;;Memphis Pantalon Holster Taille 106,7 cm Jambe 78,7 cm;84,90;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;TIT:memphis pantalon holster taille 106 7 cm jambe 78 7 cm;titre;OUTIL;3;;
Vêtements & EPI;vetement;;DEWALT Dewmem4229-tb Memphis Holster Pantalon pour Homme Tour de Taille 107 cm Jambe 74 cm Noir/Gris 42W 29L UK;84,90;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;TIT:dewmem4229 tb memphis holster pantalon pour homme tour de taille 107 cm jambe 74 cm noir gris 42w 29l uk;titre;OUTIL;2;;
Vêtements & EPI;vetement;;DEWALT Dewmem3833-tb Memphis Holster Pantalon pour Homme Tour de Taille 96,5 cm Longueur 83,8 cm Noir/Gris 38W 33L UK;84,90;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;TIT:dewmem3833 tb memphis holster pantalon pour homme tour de taille 96 5 cm longueur 83 8 cm noir gris 38w 33l uk;titre;OUTIL;3;;
Vêtements & EPI;vetement;;DEWALT Albany Pantalon Cargo de Travail pour Homme Coupe ajustée Pro-Stretch Rip Stop Poche Holster, Gris/Noir, 34W / 31;85,93;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;TIT:albany pantalon cargo de travail pour homme coupe ajust e pro stretch rip stop poche holster gris noir 34w 31;titre;OUTIL;1;;
Vêtements & EPI;vetement;;DEWALT Albany Pantalon Cargo de Travail pour Homme Coupe ajustée Pro-Stretch Rip Stop Poche Holster, Gris/Noir, 34W x 33;85,93;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;TIT:albany pantalon cargo de travail pour homme coupe ajust e pro stretch rip stop poche holster gris noir 34w x 33;titre;OUTIL;1;;
Vêtements & EPI;vetement;;DEWALT Albany Pantalon Cargo de Travail pour Homme Coupe ajustée Pro-Stretch Rip Stop Poche Holster, Gris/Noir, 30W x 29;85,93;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;TIT:albany pantalon cargo de travail pour homme coupe ajust e pro stretch rip stop poche holster gris noir 30w x 29;titre;OUTIL;1;;
Vêtements & EPI;vetement;;DEWALT Albany Pantalon Cargo de Travail pour Homme Coupe ajustée Pro-Stretch Rip Stop Poche Holster, Gris/Noir, 32W x 31;85,93;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;TIT:albany pantalon cargo de travail pour homme coupe ajust e pro stretch rip stop poche holster gris noir 32w x 31;titre;OUTIL;1;;
Vêtements & EPI;vetement;;DEWALT Albany Pantalon Cargo de Travail pour Homme Coupe ajustée Pro-Stretch Rip Stop Poche Holster, Gris/Noir, 42W / 33;85,93;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;TIT:albany pantalon cargo de travail pour homme coupe ajust e pro stretch rip stop poche holster gris noir 42w 33;titre;OUTIL;1;;
Vêtements & EPI;vetement;DWC147-004;DEWALT Workwear Memphis DWC147-004 Pantalon de travail multi-poches Gris/noir 34 W/31 L;85,95;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;REF:DWC147-004|OUTIL;référence;OUTIL;1;;
Vêtements & EPI;vetement;;Memphis Pantalon - Gris/Noir, 79/81 cm (longueur/tour de taille);85,95;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;TIT:memphis pantalon gris noir 79 81 cm longueur tour de taille;titre;OUTIL;1;;
Vêtements & EPI;vetement;;DEWALT Dewmem3831-tb Memphis Holster Pantalon Tour de Taille 96,5 cm Jambe 78,7 cm, Noir/Gris, 38W / 31L Homme;85,95;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;TIT:dewmem3831 tb memphis holster pantalon tour de taille 96 5 cm jambe 78 7 cm noir gris 38w 31l homme;titre;OUTIL;1;;
Vêtements & EPI;vetement;;DEWALT Dewmem3429-tb Memphis Holster Pantalon pour Homme Tour de Taille 86,4 cm Jambe 73,7 cm Noir/Gris 34W 29L UK;85,95;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;TIT:dewmem3429 tb memphis holster pantalon pour homme tour de taille 86 4 cm jambe 73 7 cm noir gris 34w 29l uk;titre;OUTIL;1;;
Vêtements & EPI;vetement;;DeWalt Workwear Memphis Pantalon multi-poches Gris/Noir 31 Leg 30W;85,95;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;TIT:workwear memphis pantalon multi poches gris noir 31 leg 30w;titre;OUTIL;2;;
Vêtements & EPI;vetement;;DeWalt Memphis Pantalon de travail extensible avec poche holster Taille 31 Tour de taille 36;85,95;seul;pantalon de travail;;;;;;;;sans-ref;famille:epi;TIT:memphis pantalon de travail extensible avec poche holster taille 31 tour de taille 36;titre;OUTIL;2;;
Vêtements & EPI;chaussure;;DEWALT Bottes de construction Harwich pour homme, blé, 46 EU;87,89;seul;botte de sécurité;;;;;;;;sans-ref;famille:epi;TIT:bottes de construction harwich pour homme bl 46 eu;titre;OUTIL;1;;
Vêtements & EPI;vetement;;DEWALT Veste polaire JONESBORO FLEECE - Noir - 2XL;89,46;seul;polaire;;;;;;;;sans-ref;famille:epi;TIT:veste polaire jonesboro fleece noir 2xl;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;Chaussures de sécurité S3 DeWalt Recip noires pointure 44;89,99;seul;chaussure de sécurité;;;;;;;;sans-ref;famille:epi;TIT:chaussures de s curit s3 recip noires pointure 44;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;Chaussures de sécurité S3 DeWalt Phoenix havane pointure 42;89,99;seul;chaussure de sécurité;;;;;;;;sans-ref;famille:epi;TIT:chaussures de s curit s3 phoenix havane pointure 42;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;Chaussures de sécurité S3 DeWalt Phoenix havane pointure 41;89,99;seul;chaussure de sécurité;;;;;;;;sans-ref;famille:epi;TIT:chaussures de s curit s3 phoenix havane pointure 41;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;Chaussures de sécurité montantes S3 DeWalt Hadley marron pointure 45;89,99;seul;chaussure de sécurité;;;;;;;;sans-ref;famille:epi;TIT:chaussures de s curit montantes s3 hadley marron pointure 45;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;Chaussures de sécurité S3 DeWalt Recip noires pointure 42;89,99;seul;chaussure de sécurité;;;;;;;;sans-ref;famille:epi;TIT:chaussures de s curit s3 recip noires pointure 42;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;Chaussures de sécurité SB P DeWalt Halogen Prolite marron pointure 41;89,99;seul;chaussure de sécurité;;;;;;;;sans-ref;famille:epi;TIT:chaussures de s curit sb p halogen prolite marron pointure 41;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;Chaussures de sécurité S3 DeWalt Phoenix havane pointure 44;89,99;seul;chaussure de sécurité;;;;;;;;sans-ref;famille:epi;TIT:chaussures de s curit s3 phoenix havane pointure 44;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;Chaussures de sécurité S3 DeWalt Recip noires pointure 46;89,99;seul;chaussure de sécurité;;;;;;;;sans-ref;famille:epi;TIT:chaussures de s curit s3 recip noires pointure 46;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;DeWalt Men's Titanium Safety Boots tan;89,99;seul;botte de sécurité;;;;;;;;sans-ref;famille:epi;TIT:men s titanium safety boots tan;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;Chaussures de sécurité montantes S3 DeWalt Hadley marron pointure 44;89,99;seul;chaussure de sécurité;;;;;;;;sans-ref;famille:epi;TIT:chaussures de s curit montantes s3 hadley marron pointure 44;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;Chaussures de sécurité montantes S3 DeWalt Hadley marron pointure 41;89,99;seul;chaussure de sécurité;;;;;;;;sans-ref;famille:epi;TIT:chaussures de s curit montantes s3 hadley marron pointure 41;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;Chaussures de sécurité montantes S3 DeWalt Hadley marron pointure 43;89,99;seul;chaussure de sécurité;;;;;;;;sans-ref;famille:epi;TIT:chaussures de s curit montantes s3 hadley marron pointure 43;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;DeWalt Men's Titanium Safety Boots Honey;89,99;seul;botte de sécurité;;;;;;;;sans-ref;famille:epi;TIT:men s titanium safety boots honey;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;Chaussures de sécurité S3 DeWalt Phoenix havane pointure 43;89,99;seul;chaussure de sécurité;;;;;;;;sans-ref;famille:epi;TIT:chaussures de s curit s3 phoenix havane pointure 43;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;DEWALT Lamar Chaussures de Travail légères et Respirantes avec Bout en Acier pour Homme, Noir, 42 2/3 EU;90,05;seul;chaussure de sécurité;;;;;;;;sans-ref;famille:epi;TIT:lamar chaussures de travail l g res et respirantes avec bout en acier pour homme noir 42 2 3 eu;titre;OUTIL;2;;
Vêtements & EPI;chaussure;;DEWALT Lamar Chaussures de Travail légères et Respirantes avec Bout en Acier pour Homme, Noir, 42 1/3 EU;90,05;seul;chaussure de sécurité;;;;;;;;sans-ref;famille:epi;TIT:lamar chaussures de travail l g res et respirantes avec bout en acier pour homme noir 42 1 3 eu;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;DeWalt Botte Douglas noir;90,79;seul;botte de sécurité;;;;;;;;sans-ref;famille:epi;TIT:botte douglas noir;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;DeWalt Darlington Safety Trainers black blue;91,95;seul;chaussure de sécurité;;;;;;;;sans-ref;famille:epi;TIT:darlington safety trainers black blue;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;Dewalt Botte de construction Harwich pour homme, blé, 44 EU;94,42;seul;botte de sécurité;;;;;;;;sans-ref;famille:epi;TIT:botte de construction harwich pour homme bl 44 eu;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;DEWALT Bottes de construction Harwich pour homme, blé, 40 2/3 EU;97,06;seul;botte de sécurité;;;;;;;;sans-ref;famille:epi;TIT:bottes de construction harwich pour homme bl 40 2 3 eu;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;DeWalt Newark noir;98,24;seul;botte de sécurité;;;;;;;;sans-ref;famille:epi;TIT:newark noir;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;DeWalt Men's Newark Safety Boots brown;98,24;seul;botte de sécurité;;;;;;;;sans-ref;famille:epi;TIT:men s newark safety boots brown;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;Dewalt Murray Bottes de sécurité imperméables Noir Taille 47;98,51;seul;botte de sécurité;;;;;;;;sans-ref;famille:epi;TIT:murray bottes de s curit imperm ables noir taille 47;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;DEWALT Milburn S7 Bottes de sécurité imperméables en cuir nubuck avec embout en acier pour homme, stone, 42 2/3 EU;98,77;seul;botte de sécurité;;;;;;;;sans-ref;famille:epi;TIT:milburn s7 bottes de s curit imperm ables en cuir nubuck avec embout en acier pour homme stone 42 2 3 eu;titre;OUTIL;1;;
Vêtements & EPI;chaussure;;Dewalt Murray Bottes de sécurité imperméables Noir Taille 40;98,97;seul;botte de sécurité;;;;;;;;sans-ref;famille:epi;TIT:murray bottes de s curit imperm ables noir taille 40;titre;OUTIL;1;;
