Référence idealo;Titre chez idealo;Prix idealo (€);Version;Famille;Pourquoi je n'ai pas trouvé
DCB609;Batterie Dewalt originale 100% authentique 20V/60V 9.0Ah MAX 9000mAh FlexVolt DCB609 DCB202 DCB205 DCB206 DCB209 Outil é;82,39;PACK+1X9.0;ELECTRO_PORTATIF;aucune fiche DeWALT de ce modèle sur le site
DCB606;Batterie DeWALT 100% originale 20V/60V 6Ah 9Ah MAX FlexVolt pour outil électrique DCB606 DCB205 DCB206 DCB209 DCB182 ave;87,07;PACK+1X6;ELECTRO_PORTATIF;aucune fiche DeWALT de ce modèle sur le site
DCB206;Batterie d'outil électrique 100% originale DeWALT 20V 6000mAh DCB206 DCB205 DCB200 DCF887 DCG405 DCD791 DCF922 DCF850 DC;86,39;PACK;ELECTRO_PORTATIF;aucune fiche DeWALT de ce modèle sur le site
DCB606;Batterie d'origine DeWALT 20V/60V 9000mAh MAX FlexVolt pour outils électriques DCB606 DCB205 DCB206 DCB209 DCB182 Transp;84,39;PACK;ELECTRO_PORTATIF;aucune fiche DeWALT de ce modèle sur le site
DWE60V;Batterie Dewalt originale 60V/20V, batterie 5AH 6AH 9AH, batterie pour outils électriques DeWalt série DCF DCD DCG DCS D;81,69;PACK+1X5;ELECTRO_PORTATIF;aucune fiche DeWALT de ce modèle sur le site
DCB200;Chargeur de batterie 100% authentique DEWALT 20V Max 2/5/6/9Ah, série Li-Ion XR pour outils électriques, batterie DCB200;81,69;PACK+1X9+CHARGEUR;ELECTRO_PORTATIF;aucune fiche DeWALT de ce modèle sur le site
RB3019;Batterie AKKU POWER RB3019 pour DEWALT 14.4V 4Ah Li-ion type DCB142;85,00;PACK+1X4;ELECTRO_PORTATIF;aucune fiche DeWALT de ce modèle sur le site
RB336;Batterie AKKU POWER RB336 pour DEWALT 24V 3AH Ni-Mh type DE0240;84,50;PACK+1X3;ELECTRO_PORTATIF;aucune fiche DeWALT de ce modèle sur le site
XRP18V;DeWalt Perceuse visseuse percussion Premium XRP 18V - sans batterie ni chargeur - coffret TSTAK & Jeu de 3 Burins SDS-PL;183,85;PACK+COFFRET+CHARGEUR;ELECTRO_PORTATIF;aucune fiche DeWALT de ce modèle sur le site
DEWDCD996NT;DeWalt Perceuse visseuse percussion Premium XRP 18V - sans batterie ni chargeur - coffret TSTAK DEWDCD996NT Jaune/Noir &;200,51;PACK+COFFRET+CHARGEUR;ELECTRO_PORTATIF;aucune fiche DeWALT de ce modèle sur le site
DCB200;Batterie DeWALT 100% originale 20V/60V 9000mAh MAX FlexVolt pour DCB200 DCB205 DCB206 DCB209 DCB182 Batterie pour outil ;87,07;PACK;ELECTRO_PORTATIF;aucune fiche DeWALT de ce modèle sur le site
GDE1220MH;Batterie 12v 2ah ni-mh - AKKU POWER GMBH - DEWALT - GDE1220MH;90,14;PACK+1X2;ELECTRO_PORTATIF;aucune fiche DeWALT de ce modèle sur le site
DWH052-XJ;DeWalt Système d'extraction des poussières pour démolisseurs (DWH052-XJ);90,00;OUTIL;ELECTRO_PORTATIF;aucune fiche DeWALT de ce modèle sur le site
D259811;DeWalt Chariot pour démolisseur (D259811);95,35;OUTIL;ELECTRO_PORTATIF;aucune fiche DeWALT de ce modèle sur le site
DCK694P3;Pack 6 outils 18V XR (3x5,0 Ah) avec 2 coffrets TSTAK - DEWALT DCK694P3;823,58;PACK+3X5.0+COFFRET;ELECTRO_PORTATIF;aucune fiche DeWALT de ce modèle sur le site
DWH051-XJ;DeWalt Suction device DWH051-XJ;98,99;OUTIL;ELECTRO_PORTATIF;aucune fiche DeWALT de ce modèle sur le site
VDCB105D2;DeWalt Starter-Kit 2 x 2,0 Ah Batteries VDCB105D2;105,48;PACK+2X2.0;ELECTRO_PORTATIF;aucune fiche DeWALT de ce modèle sur le site
DT1306-QZ;DeWalt DT1306-QZ - Hoja de sierra para ensambladora 102mm;81,86;OUTIL;ELECTRO_PORTATIF;aucune fiche DeWALT de ce modèle sur le site
DWST82823;DEWALT Organiseur d'outils, Support pour Outils électriques, se Monte sur des Rails métalliques, Compatible avec Le syst;108,78;ACCESSOIRE;QUINCAILLERIE;aucune fiche DeWALT de ce modèle sur le site
DT9766;DeWalt Couronne de forage humide diamant 1 1/4 pouce UNC universel 91 mm (DT9766);155,10;OUTIL;QUINCAILLERIE;aucune fiche DeWALT de ce modèle sur le site
DW087K;DEWALT Trépied Mini Léger Métal Renforcé Compatible avec DW087K, DW088K, DW089K, DW082K, DW084K - Rotation 360° - Montag;89,04;OUTIL;QUINCAILLERIE;aucune fiche DeWALT de ce modèle sur le site
DT9679-QZ;DEWALT Jeu de 15 forets et burins SDS-plus DT9679-QZ & Coffret de 100 Pièces de Perçage et Vissage Haute Performance - D;88,20;PACK+COFFRET;QUINCAILLERIE;aucune fiche DeWALT de ce modèle sur le site
DXTT-2-916;DeWalt Lame de lissage 406mm flexible en acier inoxydable (DXTT-2-916);87,84;OUTIL;QUINCAILLERIE;aucune fiche DeWALT de ce modèle sur le site
DT5031-QZ;DeWalt HSS-G 20-34 mm DT5031-QZ;90,34;OUTIL;QUINCAILLERIE;aucune fiche DeWALT de ce modèle sur le site
DT20460-QZ;DeWalt Elite Series Meule Diamant Polyvalente 305x25,4mm (DT20460-QZ);90,27;OUTIL;QUINCAILLERIE;aucune fiche DeWALT de ce modèle sur le site
AW489;"Dewalt - Caisse à outils ""Tstak IP54"" (pack de 2) AW489 (taille unique) (Noir/Jaune)";95,35;PACK+COFFRET;QUINCAILLERIE;aucune fiche DeWALT de ce modèle sur le site
DT60809-QZ;DEWALT DT60809-QZ - Broca SDS-Max XLR 16x340mm 4 cortes G;95,23;OUTIL;QUINCAILLERIE;aucune fiche DeWALT de ce modèle sur le site
DT9445-QZ;DeWalt SDS-max 40x570x450 mm DT9445-QZ;98,99;OUTIL;QUINCAILLERIE;aucune fiche DeWALT de ce modèle sur le site
DXVA13-0801;DEWALT DXVA13-0801 Kit d'accessoires pour tuyau d'aspiration de voiture 8 pièces;105,73;PACK;QUINCAILLERIE;aucune fiche DeWALT de ce modèle sur le site
SB18;DeWalt Cutter;109,02;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
APPRENT5;DeWalt Apprentice (APPRENT5) miel;115,60;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
CROS00420;DeWALT CROS00420 Chaussures De Travail Crossfire - Noir - Basse - Taille 42;115,00;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
CROS00430;DeWALT CROS00430 Chaussures De Travail Crossfire - Noir - Basse - Taille 43;115,00;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
RADIAL8B;DeWalt Radial Dealer RADIAL8B Chaussures de sécurité Marron Pointure 42 (Import Grande Bretagne);117,20;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
DPG17-BX;DEWALT DPG17-BX;83,57;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
CROS00440;DeWALT CROS00440 Chaussures De Travail Crossfire - Noir - Basse - Taille 44;120,59;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
CROS00400;DeWALT CROS00400 Chaussures De Travail Crossfire - Noir - Basse Tige - Taille 40;120,59;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
CROS00410;DeWALT CROS00410 Chaussures De Travail Crossfire - Noir - Basse Tige - Taille 41;120,59;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
CROS00460;DeWALT CROS00460 Chaussure De Travail Crossfire - Noir - Basse - Taille 46;120,59;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
CROS00450;DeWALT CROS00450 Chaussure De Travail Crossfire - Noir - Basse - Taille 45;120,59;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
DXMA1902093;DeWalt Casque Tour de Cou Bluetooth 2-en-1 avec Haut-parleurs Intégrés, 60+h, IP56 (DXMA1902093);124,99;PACK;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
DPG84;dewalt DPG84 Lunettes de protection isolantes AF transparentes;84,75;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
DWC147-004;DEWALT Workwear Memphis DWC147-004 Pantalon de travail multi-poches Gris/noir 34 W/31 L;85,95;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
DGCL33;DEWALT DGCL33 Sac à dos lumineux avec 33 poches pour outils de chargement USB, jaune;232,92;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
TECH3;Veste Softshell YAMAHA TECH3 noir jaune TL DEWALT PROMOVIS GLA;382,24;PACK;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
HADL05430;DeWALT HADL05430 Chaussure De Travail Hadley - Marron - Tige Haute - Pointure 43;100,00;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
HADL00450;DeWALT HADL00450 Chaussure De Travail Hadley - Noir - Haute - Taille 45;100,00;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
HADL05450;DeWALT HADL05450 Chaussure De Travail Hadley - Marron - Tige Haute - Pointure 45;100,00;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
HADL05460;DeWALT HADL05460 Chaussure De Travail Hadley - Marron - Haute - Taille 46;100,00;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
HADL00420;DeWALT HADL00420 Chaussure De Travail Hadley - Noir - Haute - Taille 42;100,00;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
GARR00450;DeWALT GARR00450 Chaussure De Travail Garrison - Noir - Basse - Taille 45;100,00;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
HADL05420;DeWALT HADL05420 Chaussure De Travail Hadley - Marron - Tige Haute - Pointure 42;100,00;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
HADL00440;DeWALT HADL00440 Chaussure De Travail Hadley - Noir - Haute - Taille 44;100,00;OUTIL;VETEMENTS;aucune fiche DeWALT de ce modèle sur le site
