Référence sur mon site;Titre sur mon site;Mon prix de vente (€);Ma famille;Pourquoi
DCB118Y2-QW;DeWALT DCB118Y2-QW — Pack énergie 54V/18V FLEXVOLT (2x12,0 Ah) + chargeur rapide DCB118;546,08;Batteries et chargeurs;aucune annonce idealo trouvée pour ce modèle sur les 67 pages
DCB118Y3-QW;DeWALT DCB118Y3-QW — Pack énergie 54V/18V FLEXVOLT (3x12,0 Ah) + chargeur rapide DCB118;709,32;Batteries et chargeurs;aucune annonce idealo trouvée pour ce modèle sur les 67 pages
DCF891P2T-QW;"DeWALT DCF891P2T-QW — Boulonneuse à chocs 1/2"" 18V XR 812 Nm (2×5,0 Ah + chargeur + coffret TSTAK)";473,48;Perçage, vissage et boulonnage;aucune annonce idealo trouvée pour ce modèle sur les 67 pages
DCH273NT-XJ;DeWALT DCH273NT-XJ — Perforateur SDS Plus 18V DCH273NT-XJ;586,07;Perforateurs;aucune annonce idealo trouvée pour ce modèle sur les 67 pages
DCD996NT-XJ;DeWALT DCD996NT-XJ — Perceuse-visseuse à percussions 18V DCD996NT-XJ;450,40;Perçage, vissage et boulonnage;aucune annonce idealo trouvée pour ce modèle sur les 67 pages
DCLE34021D1-QW;DeWALT DCLE34021D1-QW — Laser croix compact faisceau vert XR 18V DCLE34021D1-QW;446,81;Accessoires;aucune annonce idealo trouvée pour ce modèle sur les 67 pages
DPC10RC-QS;DeWALT DPC10RC-QS — Compresseur 10L DPC10RC-QS ROLLCAGE;427,04;Accessoires;aucune annonce idealo trouvée pour ce modèle sur les 67 pages
DCLE14201RB-XJ;DeWALT DCLE14201RB-XJ — Niveau laser croix faisceau rouge DCLE14201RB-XJ;413,52;Accessoires;aucune annonce idealo trouvée pour ce modèle sur les 67 pages
DCLE34021N-XJ;DeWALT DCLE34021N-XJ — Laser croix compact faisceau vert XR 18V DCLE34021N-XJ;390,18;Accessoires;aucune annonce idealo trouvée pour ce modèle sur les 67 pages
DCD800N-XJ;DeWALT DCD800N-XJ — Perceuse-visseuse 18V DCD800N-XJ;376,60;Perçage, vissage et boulonnage;aucune annonce idealo trouvée pour ce modèle sur les 67 pages
DCD796N-XJ;DeWALT DCD796N-XJ — Perceuse visseuse à percussion 18V DCD796N-XJ;327,47;Perçage, vissage et boulonnage;aucune annonce idealo trouvée pour ce modèle sur les 67 pages
DCS367NT-XJ;DeWALT DCS367NT-XJ — Scie sabre XR 18V DCS367NT-XJ;322,51;Scies;aucune annonce idealo trouvée pour ce modèle sur les 67 pages
DCP580NT-XJ;DeWALT DCP580NT-XJ — Rabot XR 18V DCP580NT-XJ;310,10;Rabots;aucune annonce idealo trouvée pour ce modèle sur les 67 pages
DCF870NT-XJ;DeWALT DCF870NT-XJ — Visseuse à chocs hydraulique 18V DCF870NT-XJ;300,22;Perçage, vissage et boulonnage;aucune annonce idealo trouvée pour ce modèle sur les 67 pages
DW088K-XJ;DeWALT DW088K-XJ — Niveau laser croix DW088K-XJ;290,54;Accessoires;aucune annonce idealo trouvée pour ce modèle sur les 67 pages
DCS334N-XJ;DeWALT DCS334N-XJ — Scie sauteuse 18V DCS334N-XJ;285,53;Scies;aucune annonce idealo trouvée pour ce modèle sur les 67 pages
DCH172N-XJ;DeWALT DCH172N-XJ — Perforateur SDS Plus 18V DCH172N-XJ;266,98;Perforateurs;aucune annonce idealo trouvée pour ce modèle sur les 67 pages
DCG405NT-XJ;DeWALT DCG405NT-XJ — Meuleuse Ø125 mm 18V DCG405NT-XJ;254,68;Meulage, découpe et polissage;aucune annonce idealo trouvée pour ce modèle sur les 67 pages
DCF850NT-XJ;DeWALT DCF850NT-XJ — Visseuse à chocs DCF850NT-XJ;254,68;Perçage, vissage et boulonnage;aucune annonce idealo trouvée pour ce modèle sur les 67 pages
DCF922NT-XJ;"DeWALT DCF922NT-XJ — Boulonneuse 18V 1/2"" DCF922NT-XJ";249,84;Perçage, vissage et boulonnage;aucune annonce idealo trouvée pour ce modèle sur les 67 pages
