Suffixe non reconnu;Vu chez idealo;Vu sur MON site;Verdict;Préfixes concernés;Exemple
K;50;41;CODE CONSTRUCTEUR REEL — present des deux cotes;D DWE DW DWS DCB DWD;D25033K
E;11;21;CODE CONSTRUCTEUR REEL — present des deux cotes;DXRH DXWDMMA DXGNI DXGNP DXPW DW DNN DNW DNF DXWDCUT;DXRH012E
PS;10;9;CODE CONSTRUCTEUR REEL — present des deux cotes;DPC DWK;DPC17PS
B;4;12;CODE CONSTRUCTEUR REEL — present des deux cotes;DCD DT DCLE DCS DCHJ DCE DCF DCPW DCPR DCC;DCD701B
KT;9;5;CODE CONSTRUCTEUR REEL — present des deux cotes;DWE DW DWS;DWE315KT
NK;6;5;CODE CONSTRUCTEUR REEL — present des deux cotes;DCH DCGG DCE DCG DCD;DCH263NK-XJ
P;5;5;CODE CONSTRUCTEUR REEL — present des deux cotes;DXV EUDXV DCF R;DXV20P
D1R;6;4;CODE CONSTRUCTEUR REEL — present des deux cotes;DCE;DCE0822D1R
SZ;1;7;CODE CONSTRUCTEUR REEL — present des deux cotes;DNBDA DNBA DNBT;DNBDA1550SZ
NG18;4;4;CODE CONSTRUCTEUR REEL — present des deux cotes;DCE;DCE088NG18-XJ
S;4;3;CODE CONSTRUCTEUR REEL — present des deux cotes;DW DWE D DWD;DW099S-XJ
S2T;6;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DCD DCK DCG;DCD777S2T
GB;3;4;CODE CONSTRUCTEUR REEL — present des deux cotes;DCLE;DCLE14201GB
DH;3;3;CODE CONSTRUCTEUR REEL — present des deux cotes;D DWH;D25304DH
PB;4;2;CODE CONSTRUCTEUR REEL — present des deux cotes;DCM DXV;DCM563PB-XJ
KS;3;3;CODE CONSTRUCTEUR REEL — present des deux cotes;DWD;DWD524KS
C;3;3;CODE CONSTRUCTEUR REEL — present des deux cotes;DPN;DPN64C-XJ
PK;3;2;CODE CONSTRUCTEUR REEL — present des deux cotes;DWE DW;DWE305PK
KN;3;2;CODE CONSTRUCTEUR REEL — present des deux cotes;DW;DW275KN
L;3;2;CODE CONSTRUCTEUR REEL — present des deux cotes;DCV DWV;DCV584L-QW
PP;2;2;CODE CONSTRUCTEUR REEL — present des deux cotes;DPN;DPN1850PP-XJ
A;2;2;CODE CONSTRUCTEUR REEL — present des deux cotes;DXV DXF;DXV15A
EN;4;0;vu SEULEMENT chez idealo — a confirmer;DCF;DCF503EN
HE;2;2;CODE CONSTRUCTEUR REEL — present des deux cotes;DXCMS;DXCMS2524HE
D1G18;4;0;vu SEULEMENT chez idealo — a confirmer;DCE;DCE088D1G18-QW
R;2;2;CODE CONSTRUCTEUR REEL — present des deux cotes;DWE DCLE;DWE4579R-QS
KD;2;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DWE DW;DWE4156KD
CG;2;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DW;DW088CG
VSN;2;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DCG;DCG416VSN-XJ
X;2;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DWP DCMHT;DWP849X
RE;1;2;CODE CONSTRUCTEUR REEL — present des deux cotes;DXCMS;DXCMS156RE
U;1;2;CODE CONSTRUCTEUR REEL — present des deux cotes;DXPW;DXPW002U-QS
D2KX;2;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DCK WDCK;DCK791D2KX
B1G;0;3;vu SEULEMENT sur mon site — vient de mon fournisseur;DFS;DFS9200B1G-QZ
V;0;3;vu SEULEMENT sur mon site — vient de mon fournisseur;XR DWE GBH;XR18V
LN;1;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DCV;DCV501LN-XJ
PTA;1;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DXV;DXV20PTA
SAPTA;1;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DXV;DXV30SAPTA
PE;1;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DXCMD;DXCMD155PE
KP;2;0;vu SEULEMENT chez idealo — a confirmer;D;D25134KP
MRC;1;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DPC;DPC6MRC-QS
RN;1;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DPN;DPN46RN-XJ
D2K;2;0;vu SEULEMENT chez idealo — a confirmer;DCF DCD;DCF620D2K-QW
E1K;2;0;vu SEULEMENT chez idealo — a confirmer;DCF DCGG;DCF620E1K
APP;1;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DPN;DPN1564APP
P2K;1;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DCF;DCF620P2K-QW
P2KT;1;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DCZ;DCZ100P2KT-QW
RC;1;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DPC;DPC10RC-QS
QTC;1;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DPC;DPC10QTC-QS
ME;2;0;vu SEULEMENT chez idealo — a confirmer;DXPW;DXPW001ME
M2K;2;0;vu SEULEMENT chez idealo — a confirmer;DCF;DCF620M2K
XN;1;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DCH;DCH832XN-XJ
DM;1;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DCK;DCK308DM
P2LRT;2;0;vu SEULEMENT chez idealo — a confirmer;DCF DCD;DCF891P2LRT
CE;1;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DXPW;DXPW001CE
M50HE;1;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DXCMB;DXCMB2M50HE
H;2;0;vu SEULEMENT chez idealo — a confirmer;DWV;DWV905H-QS
XPS;1;1;CODE CONSTRUCTEUR REEL — present des deux cotes;D;D27107XPS
D1RS;1;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DCE;DCE080D1RS
IN1;1;1;CODE CONSTRUCTEUR REEL — present des deux cotes;DPSB;DPSB2IN1-XJ
IR;0;2;vu SEULEMENT sur mon site — vient de mon fournisseur;DWA;DWA1790IR
PA;1;0;vu SEULEMENT chez idealo — a confirmer;DXV;DXV20PA
S2;1;0;vu SEULEMENT chez idealo — a confirmer;DCD;DCD771S2-QW
TA;1;0;vu SEULEMENT chez idealo — a confirmer;DXV;DXV15TA
NT-SOLO;1;0;vu SEULEMENT chez idealo — a confirmer;DCH;DCH172NT-SOLO
KTRI;1;0;vu SEULEMENT chez idealo — a confirmer;DW;DW088KTRI
DUO2;1;0;vu SEULEMENT chez idealo — a confirmer;DWE;DWE492DUO2
