ID;Calcul;Fichier;Lignes;Formule_exacte_recopiee_du_code;Entrees;Unites;Ou_le_resultat_est_utilise;Signalement
C-001;TTC depuis HT + octroi + TVA (moteur serveur);api/_lib/pricing.js;69-80;var ht = Number(product.price_ht != null ? product.price_ht : (product.price / (1 + (product.vat || 0.2)))), var afterOctroi = ht * (1 + r.octroiExterne + r.octroiRegional), var octroi = afterOctroi - ht, var ttc = afterOctroi * (1 + r.tva), var tva = ttc - afterOctroi,;product.price_ht, product.price, product.vat, r.octroiExterne, r.octroiRegional, r.tva;ht/octroi/tva/ttc = floats en EUROS (pas de cents);unitCents(), pricing-model, webhook rebuildLines, facture;Doublon exact de app.js calcPrice (parite obligatoire client/serveur, check-pricing.js) - une divergence de taux fait payer autre chose que l'affiche
C-002;Arrondi prix unitaire en cents entiers;api/_lib/pricing.js;85-87;return Math.round(calcPrice(product, territoryCode).ttc * 100),;calcPrice().ttc (euros float), territoryCode;entree euros float -> sortie CENTIMES entiers;create-payment-intent (montant debite), webhook (unitCents ligne), cogs;Arrondi PAR UNITE puis x qty (revendique volontaire pour eviter derive de fraction de cent)
C-003;Selection des taux TVA/octroi par territoire et categorie NC;api/_lib/pricing.js;15-67;TERRITORIES tvaRate/octroiExterne/octroiRegional , TAX_RULES_BY_NC[nc][code] override , return { tva: t.tvaRate, octroiExterne: override ? override.octroiExterne : t.octroiExterne, octroiRegional: override ? override.octroiRegional : t.octroiRegional },;product.ncCategory, territoryCode;taux = fractions (float, ex 0.085);alimente C-001, pricing-model octroiRate;Tables de taux dupliquees a l'identique dans app.js 109-176 (parite requise)
C-004;Surcout coffret TSTAK en cents;api/_lib/pricing.js;169-176;var eur = coffretGros(product) ? COFFRET.gros : COFFRET.petit, return Math.round(eur * 100),;coffretGros(product), COFFRET.gros=25, COFFRET.petit=15;eur en EUROS -> sortie CENTIMES entiers;ajoute a unitCents dans create-payment-intent et webhook;Miroir de app.js coffretSurchargeCents (COFFRET_SURCH 15/25) - doit rester identique (porte J4)
C-005;Poids expedie = outil + coffret;api/_lib/pricing.js;151-155;return Math.round((w + (coffretGros(product) ? COFFRET_KG.gros : COFFRET_KG.petit)) * 1000) / 1000,;product.weight_kg, coffretGros, COFFRET_KG.gros=1.3, COFFRET_KG.petit=0.5;kilos (float, arrondi au gramme);selection transport (pricing-model shipFor) donc port et marge;weight_kg = poids outil SEUL, coffret ajoute au calcul (pas stocke)
C-006;Cout transport Colissimo depuis grille poids;api/_lib/pricing-model.js;128-134;for (var i = 0, i < grid.length, i++) { if (weightKg <= grid[i][0]) return grid[i][1], } return grid[grid.length - 1][1],;weightKg, cfg.colissimo grille [[kg,eur]...];entree kg -> sortie EUROS (float);evaluate() transport, recommend, marginAt;Points intermediaires de la grille estimes (a confirmer laposte.fr) selon commentaire
C-007;Quote-part frais fixes par commande;api/_lib/pricing-model.js;137-140;var annuel = (cfg.fixedAnnual || 0) + 12 * (cfg.abonnementMensuel || 0), return (cfg.ordersPerYear > 0) ? (annuel / cfg.ordersPerYear) : 0,;cfg.fixedAnnual, cfg.abonnementMensuel, cfg.ordersPerYear;EUROS (float);evaluate() costs, prix recommande;Repartition sur ordersPerYear=400 (hypothese, defaut config)
C-008;Taux octroi total produit;api/_lib/pricing-model.js;144-147;var r = pricing.taxRatesFor(product || {}, cfg.refTerritory), return r.octroiExterne + r.octroiRegional,;product, cfg.refTerritory;taux (float);evaluate, recommend, marginAt;-
C-009;Evaluation economique a un markup (prix, ttc, marge apres IS);api/_lib/pricing-model.js;155-176;var priceHt = costHT * (1 + markup), var ttc = priceHt * (1 + octroi) * (1 + tvaDom), var revenueHT = priceHt * (1 + octroi), var commission = ttc * pct + fix, var octroiPaid = octroi * (costHT + ship), var costs = costHT + ship + octroiPaid + commission + cfg.packaging + fixedPerOrder(cfg) + douane, var netOp = revenueHT - costs, var netAfterIS = netOp * (1 - cfg.is), marginAfterIS: revenueHT > 0 ? netAfterIS / revenueHT : 0;costHT, markup, ship, octroi, tvaDom, cfg.commissionPct/Fix, cfg.packaging, cfg.is, douane;tout en EUROS (float) sauf taux;prix recommande (reprice-all), marges admin, price-preview;commission estimee a commissionPct=1.0% alors que carte pro reelle=2.8% (ecart assume, sort de la marge). octroiPaid base sur costHT+ship
C-010;Recherche du markup minimal atteignant la marge cible;api/_lib/pricing-model.js;179-184;for (var m = 0.02, m <= 3, m += 0.001) { if (evaluate(costHT, m, ship, octroi, tvaDom, cfg, douane).marginAfterIS >= cfg.targetNet) return m, } return 3,;costHT, ship, octroi, tvaDom, cfg.targetNet;markup = fraction (float, pas 0.1%);recommend() prix conseille;Recherche par balayage pas de 0.001, plafond markup 3 (300%)
C-011;Prix recommande depuis cout fournisseur;api/_lib/pricing-model.js;216-237;var costHT = (opts.costHT != null) ? Number(opts.costHT) : Number(opts.costTTC || 0) / (1 + cfg.tvaFR), r.priceHtFor = { price_ht: r.priceHt, price: round2(r.priceHt * (1 + cfg.tvaFR)) },;opts.costHT ou opts.costTTC, cfg.tvaFR=0.20;EUROS (float, round2);ecriture product_overrides price_ht/price (reprice-all), price-preview admin;costTTC divise par 1+tvaFR pour retrouver le HT (TVA FR recuperee)
